symbol,base,quote,price,min_order_size,min_notional,tick_size,volume_24h,instrument_type,volatility,volatility_pct,min_order_value,effective_min_size,max_orders,max_position_size,typical_spread_usd,typical_spread_ticks,expected_profit_pct,volatility_risk,liquidity_score,allocation_score,recommended_allocation,allocated_budget,allocated_position_size,meets_requirements
BTC/USDT,BTC,USDT,85298.0,1e-05,5.0,0.01,1794550788.475037,spot,0.2774932096912374,27.74932096912374,0.8529800000000001,5.86180215245375e-05,200,0.0117236043049075,2366.961580024317,236696.15800243168,0.013874660484561872,2.142857142857143,4.285714285714286,6.071428571428571,8.67,86.7,0.0010164364932354804,True
ETH/USDT,ETH,USDT,1625.53,0.0001,5.0,0.01,859751870.944293,spot,0.6574327410675317,65.74327410675316,0.162553,0.0030759198538322886,200,0.6151839707664577,106.86766435875047,10686.766435875048,0.03287163705337658,7.142857142857143,3.5714285714285716,3.2142857142857144,4.59,45.9,0.028236944258180408,True
BTC/USDT:USDT,BTC,USDT,85249.8,0.001,100.0,0.1,14335651147.01,spot,0.27818474738171206,27.818474738171204,85.24980000000001,0.0011730232798200112,10,0.011730232798200112,2371.519407734148,23715.19407734148,0.013909237369085604,3.9285714285714284,8.928571428571429,7.5,10.71,107.1,0.001256307932687232,True
BTC/USDT:USDT,BTC,USDT,85249.8,0.001,100.0,0.1,14335651147.01,spot,0.27818474738171206,27.818474738171204,85.24980000000001,0.0011730232798200112,10,0.011730232798200112,2371.519407734148,23715.19407734148,0.013909237369085604,3.9285714285714284,8.928571428571429,7.5,10.71,107.1,0.001256307932687232,True
ETH/USDT:USDT,ETH,USDT,1624.86,0.001,20.0,0.01,9586412854.92,spot,0.6584410690674981,65.84410690674981,1.62486,0.01230875275408343,49,0.6154376377041715,106.9874555485015,10698.74555485015,0.03292205345337491,8.928571428571429,5.357142857142857,3.214285714285714,4.59,45.9,0.02824858757062147,True
ETH/USDT:USDT,ETH,USDT,1624.86,0.001,20.0,0.01,9586412854.92,spot,0.6584410690674981,65.84410690674981,1.62486,0.01230875275408343,49,0.6154376377041715,106.9874555485015,10698.74555485015,0.03292205345337491,8.928571428571429,5.357142857142857,3.214285714285714,4.59,45.9,0.02824858757062147,True
BTC/USDT:USDT-250627,BTC,USDT,86128.3,0.001,5.0,0.1,21872602.6,spot,0.27250054537513607,27.250054537513606,86.12830000000001,0.001,11,0.011610585603106063,2347.0008722233333,23470.00872223333,0.013625027268756805,1.4285714285714284,2.8571428571428568,5.7142857142857135,8.16,81.6,0.0009474237852134547,False
ETH/USDT:USDT-250627,ETH,USDT,1637.29,0.001,5.0,0.01,18669718.63,spot,0.6516915779852736,65.16915779852735,1.63729,0.003053826750300802,200,0.6107653500601604,106.70081037195085,10670.081037195085,0.03258457889926368,5.7142857142857135,2.142857142857143,3.2142857142857144,4.59,45.9,0.02803412956776136,True
BTC/USDT:USDT-250926,BTC,USDT,87523.4,0.001,5.0,0.1,13783287.6,spot,0.2668541732801763,26.68541732801763,87.5234,0.001,11,0.011425515919171332,2335.5984549670184,23355.984549670182,0.013342708664008815,0.7142857142857142,1.4285714285714284,5.357142857142858,7.65,76.5,0.0008740519678166068,False
ETH/USDT:USDT-250926,ETH,USDT,1662.96,0.001,5.0,0.01,8615516.1,spot,0.6567452290015379,65.67452290015379,1.66296,0.0030066868716024436,200,0.6013373743204887,109.21410460203975,10921.410460203975,0.03283726145007689,6.428571428571429,0.7142857142857142,2.142857142857143,3.06,30.6,0.018400923654206956,True
BTC/USDT:USDT,BTC,USDT,85249.8,0.001,100.0,0.1,14335651147.01,perpetual,0.27818474738171206,27.818474738171204,85.24980000000001,0.0011730232798200112,10,0.011730232798200112,2371.519407734148,23715.19407734148,0.013909237369085604,3.9285714285714284,8.928571428571429,7.5,10.71,107.1,0.001256307932687232,True
BTC/USDT:USDT,BTC,USDT,85249.8,0.001,100.0,0.1,14335651147.01,perpetual,0.27818474738171206,27.818474738171204,85.24980000000001,0.0011730232798200112,10,0.011730232798200112,2371.519407734148,23715.19407734148,0.013909237369085604,3.9285714285714284,8.928571428571429,7.5,10.71,107.1,0.001256307932687232,True
ETH/USDT:USDT,ETH,USDT,1624.86,0.001,20.0,0.01,9586503845.94,perpetual,0.6584410690674981,65.84410690674981,1.62486,0.01230875275408343,49,0.6154376377041715,106.9874555485015,10698.74555485015,0.03292205345337491,8.928571428571429,6.7857142857142865,3.928571428571429,5.61,56.1,0.034526051475204024,True
ETH/USDT:USDT,ETH,USDT,1624.86,0.001,20.0,0.01,9586503845.94,perpetual,0.6584410690674981,65.84410690674981,1.62486,0.01230875275408343,49,0.6154376377041715,106.9874555485015,10698.74555485015,0.03292205345337491,8.928571428571429,6.7857142857142865,3.928571428571429,5.61,56.1,0.034526051475204024,True
