order_id,trade_id,instrument_name,direction,price,amount,label,time,position_after,trade_type,session_realised_after,fee,index,fee_rate,funding_mark,client_order_id,maker_taker,timestamp
001F24B7000000B4,0000000000000001182EF416616CF971,BTC-PERPETUAL,sell,84157.0,0.018,P,1742598482.7999501,-0.018,normal,-77.083,0.38,84165.4396666667,0.00025,0.0,305,maker,2025-03-21T16:08:02.896875
001F24B7000000CB,0000000000000001182EF42506D4507C,BTC-PERPETUAL,buy,84191.0,0.021,P,1742598545.7045062,0.003,normal,-0.612,-78.075,0.44,84184.78,0.00025,0.0,328,maker,2025-03-21T16:09:05.797999
001F24B7000000D1,0000000000000001182EF428FE15BE5F,BTC-PERPETUAL,buy,84184.0,0.027,P,1742598562.7376683,0.03,normal,-78.515,0.57,84179.6533333333,0.00025,0.0,334,maker,2025-03-21T16:09:22.839896
001F24B7000000F7,0000000000000001182EF4419204B537,BTC-PERPETUAL,buy,84174.0,0.028,P,1742598668.298794,0.058,normal,-79.085,0.59,84166.5516666667,0.00025,0.0,372,maker,2025-03-21T16:11:08.402645
001F24B7000000F7,0000000000000001182EF4419E8F6A44,BTC-PERPETUAL,buy,84174.0,0.01,P,1742598668.509211,0.068,normal,-79.675,0.21,84166.5516666667,0.00025,0.0,372,maker,2025-03-21T16:11:08.603848
001F24B700000119,0000000000000001182EF456F1C06213,BTC-PERPETUAL,buy,84138.0,0.028,P,1742598760.0992432,0.096,normal,-79.885,0.59,84137.105,0.00025,0.0,406,maker,2025-03-21T16:12:40.195224
001F24B700000119,0000000000000001182EF45703C9F4B5,BTC-PERPETUAL,buy,84138.0,0.004,P,1742598760.4018602,0.1,normal,-80.475,0.08,84134.4383333333,0.00025,0.0,406,maker,2025-03-21T16:12:40.498439
001F24B70000011B,0000000000000001182EF457453FE77B,BTC-PERPETUAL,buy,84131.0,0.028,P,1742598761.5001092,0.128,normal,-80.555,0.59,84125.455,0.00025,0.0,408,maker,2025-03-21T16:12:41.603917
001F24B70000011B,0000000000000001182EF4578D000C4A,BTC-PERPETUAL,buy,84131.0,0.004,P,1742598762.7038832,0.132,normal,-81.145,0.08,84123.5433333333,0.00025,0.0,408,maker,2025-03-21T16:12:42.805183
001F24B700000132,0000000000000001182EF4659CD4E74B,BTC-PERPETUAL,sell,84147.0,0.024,P,1742598823.099033,0.108,normal,-0.24672727,-81.47172727,0.5,84149.8666666667,0.00025,0.0,431,maker,2025-03-21T16:13:43.198075
001F24B700000134,0000000000000001182EF466DEC4B964,BTC-PERPETUAL,sell,84159.0,0.028,P,1742598828.5002372,0.08,normal,0.04815151,-81.92357576,0.59,84177.6066666667,0.00025,0.0,433,maker,2025-03-21T16:13:48.599726
001F24B70000013C,0000000000000001182EF46B68FCF222,BTC-PERPETUAL,sell,84187.0,0.017,P,1742598847.999046,0.063,normal,0.50523485,-82.00834091,0.36,84191.5483333333,0.00025,0.0,441,maker,2025-03-21T16:14:08.095636
001F24B700000155,0000000000000001182EF47AB54C1DD9,BTC-PERPETUAL,buy,84185.0,0.023,P,1742598913.7038133,0.086,normal,-82.36834091,0.48,84186.48,0.00025,0.0,466,maker,2025-03-21T16:15:13.798677
001F24B700000167,0000000000000001182EF486358FCAEF,BTC-PERPETUAL,buy,84181.0,0.025,P,1742598963.100372,0.111,normal,-82.84834091,0.53,84183.57,0.00025,0.0,484,maker,2025-03-21T16:16:03.201732
001F24B70000017D,0000000000000001182EF49416507606,BTC-PERPETUAL,buy,84159.0,0.017,P,1742599022.7056699,0.128,normal,-83.37834091,0.36,84157.1415,0.00025,0.0,506,maker,2025-03-21T16:17:02.801815
001F24B7000001E7,0000000000000001182EF4D56B075650,BTC-PERPETUAL,buy,84139.0,0.028,P,1742599303.299815,0.156,normal,-83.73834091,0.59,84130.1583333333,0.00025,0.0,612,maker,2025-03-21T16:21:43.399810
001F24B7000001E7,0000000000000001182EF4D570FB2B41,BTC-PERPETUAL,buy,84139.0,0.015,P,1742599303.399681,0.171,normal,-84.32834091,0.32,84130.1583333333,0.00025,0.0,612,maker,2025-03-21T16:21:43.497002
001F24B700000231,0000000000000001182EF503D8891CC7,BTC-PERPETUAL,buy,84122.0,0.028,P,1742599502.705532,0.199,normal,-84.64834091,0.59,84110.9316666667,0.00025,0.0,686,maker,2025-03-21T16:25:02.826469
001F24B700000231,0000000000000001182EF503E438ED3F,BTC-PERPETUAL,buy,84122.0,0.027,P,1742599502.9016042,0.226,normal,-85.23834091,0.57,84110.9316666667,0.00025,0.0,686,maker,2025-03-21T16:25:03.003943
001F24B7000002F9,0000000000000008182EF557B4C608E8,BTC-PERPETUAL,buy,84097.0,0.04,P,1742599862.8827982,0.04,normal,-104.741,0.84,84099.4696666667,0.00025,0.0,886,maker,2025-03-21T16:31:02.993060
001F24B70000031D,0000000000000001182EF56C8CB2E5E4,BTC-PERPETUAL,buy,84093.0,0.028,P,1742599952.404768,0.068,normal,-105.581,0.59,84088.1183333333,0.00025,0.0,922,maker,2025-03-21T16:32:32.505157
001F24B70000031D,0000000000000001182EF56C928C11B6,BTC-PERPETUAL,buy,84093.0,0.028,P,1742599952.502887,0.096,normal,-106.171,0.59,84088.1183333333,0.00025,0.0,922,maker,2025-03-21T16:32:32.600598
001F24B70000031D,0000000000000001182EF56C9859939B,BTC-PERPETUAL,buy,84093.0,0.014,P,1742599952.600241,0.11,normal,-106.761,0.29,84088.1183333333,0.00025,0.0,922,maker,2025-03-21T16:32:32.698604
